Entity,Code,Year,"Combined gross enrolment ratio for tertiary education, female","Combined gross enrolment ratio for tertiary education, male","Combined total net enrolment rate, primary, female","Combined total net enrolment rate, primary, male","Total net enrolment rate, lower secondary, male (%)","Total net enrolment rate, lower secondary, female (%)","Total net enrolment rate, upper secondary, male (%)","Total net enrolment rate, upper secondary, female (%)"
World,OWID_WRL,1820,0.0004884372,0.037921637,3.0722947,5.244596,,,,
World,OWID_WRL,1825,0.0005492412,0.04688735,3.4574163,5.7186956,,,,
World,OWID_WRL,1830,0.0005649482,0.05528878,3.9705713,6.4534745,,,,
World,OWID_WRL,1835,0.0006135481,0.056415368,4.530072,7.138334,,,,
World,OWID_WRL,1840,0.0011115415,0.061015777,5.221393,7.899873,,,,
World,OWID_WRL,1845,0.0016013858,0.064698495,5.944798,8.875336,,,,
World,OWID_WRL,1850,0.0018378977,0.07305131,6.8327484,10.082072,,,,
World,OWID_WRL,1855,0.0022376096,0.08849211,8.038229,11.264262,,,,
World,OWID_WRL,1860,0.0033440448,0.10699712,9.337548,13.322899,,,,
World,OWID_WRL,1865,0.0052435165,0.1263643,10.558342,14.5176525,,,,
World,OWID_WRL,1870,0.0075006676,0.17649053,13.170446,19.10418,,,,
World,OWID_WRL,1875,0.008749219,0.21736887,15.735016,21.96656,,,,
World,OWID_WRL,1880,0.011341471,0.2773254,17.203115,24.84154,,,,
World,OWID_WRL,1885,0.0146313235,0.2973596,18.979078,26.222925,,,,
World,OWID_WRL,1890,0.018503029,0.3428703,19.999071,27.548628,,,,
World,OWID_WRL,1895,0.028364534,0.38858682,21.76535,30.009706,,,,
World,OWID_WRL,1900,0.03708105,0.47363657,23.292572,30.956438,,,,
World,OWID_WRL,1905,0.052533444,0.5144525,25.096416,32.75639,,,,
World,OWID_WRL,1910,0.08497808,0.5967134,28.113207,35.981144,,,,
World,OWID_WRL,1915,0.13117656,0.5657227,29.153261,37.625443,,,,
World,OWID_WRL,1920,0.24819607,0.866877,30.541744,39.26578,,,,
World,OWID_WRL,1925,0.3611005,1.0088464,33.02687,43.45375,,,,
World,OWID_WRL,1930,0.5195221,1.1687977,36.347023,50.821774,,,,
World,OWID_WRL,1935,0.576531,1.209011,38.237045,52.93309,,,,
World,OWID_WRL,1940,0.74167204,1.3158189,40.004852,52.758373,,,,
World,OWID_WRL,1945,1.0449522,1.695196,43.481266,58.156597,,,,
World,OWID_WRL,1950,1.1902859,2.8451061,51.42877,61.500145,,,,
World,OWID_WRL,1955,1.5957961,3.2579048,57.4162,69.44788,,,,
World,OWID_WRL,1960,3.2934587,7.084222,63.072407,73.60881,,,,
World,OWID_WRL,1965,5.412545,10.438619,65.991005,75.78504,,,,
World,OWID_WRL,1970,6.5775895,12.357069,68.96971,74.86995,,,,
World,OWID_WRL,1975,8.960716,13.85843,72.921524,83.38726,,,,
World,OWID_WRL,1980,10.23097,14.18299,75.823044,81.60121,,,,
World,OWID_WRL,1985,11.71181,13.93613,75.21509,85.86887,,,,
World,OWID_WRL,1986,11.87807,14.16748,76.52253,85.9035,,,,
World,OWID_WRL,1987,12.11397,14.37685,76.61759,85.75187,,,,
World,OWID_WRL,1988,12.21313,14.17957,77.56871,86.0817,,,,
World,OWID_WRL,1989,12.41579,14.2259,77.59065,86.12504,,,,
World,OWID_WRL,1990,12.71669,14.27325,77.15725,85.45311,,,,
World,OWID_WRL,1991,12.9308,14.35435,77.22623,85.15345,,,,
World,OWID_WRL,1992,13.3221,14.49581,76.98974,84.89987,,,,
World,OWID_WRL,1993,13.81412,14.84037,77.54015,85.0447,,,,
World,OWID_WRL,1994,14.46823,15.46829,78.10695,85.28815,,,,
World,OWID_WRL,1995,15.07987,15.92862,78.2468,85.59125,,,,
World,OWID_WRL,1996,15.84557,16.6558,78.48639,85.55838,,,,
World,OWID_WRL,1997,16.62409,17.26742,79.32226,85.99312,,,,
World,OWID_WRL,1998,17.22482,17.66999,80.50624,86.02509,76.42147,71.43559,53.07424,46.17226
World,OWID_WRL,1999,18.24185,18.42866,81.59559,87.04495,76.63228,71.56361,53.319,46.36791
World,OWID_WRL,2000,19.08234,19.1103,82.25411,87.43674,77.59571,72.6516,53.77132,47.3239
World,OWID_WRL,2001,20.00786,19.92734,83.61177,88.57769,78.9301,74.53226,55.07952,49.35876
World,OWID_WRL,2002,21.37325,20.87109,83.95275,88.65255,79.52142,75.54423,55.64169,50.55553
World,OWID_WRL,2003,22.53904,21.97445,86.18121,89.07635,80.67518,77.46176,56.24744,52.06078
World,OWID_WRL,2004,23.58646,22.7674,87.28288,90.35517,81.39436,78.42111,57.10114,53.60617
World,OWID_WRL,2005,24.57321,23.43335,88.00316,91.13894,81.96043,78.8696,57.62273,54.81292
World,OWID_WRL,2006,25.84465,24.25908,88.62703,91.18831,82.54658,79.60062,58.31212,55.57837
World,OWID_WRL,2007,26.86832,25.11369,89.72533,92.02636,83.12657,80.289,59.08608,56.345
World,OWID_WRL,2008,28.04722,26.07021,90.07275,92.03957,83.0434,80.69446,60.5618,57.86209
World,OWID_WRL,2009,29.00794,26.90399,90.29907,91.66218,83.44395,81.40273,61.51542,59.07536
World,OWID_WRL,2010,30.37894,28.22238,90.53431,91.93651,84.21333,82.63536,62.5506,60.28465
World,OWID_WRL,2011,32.11964,29.86538,90.52597,91.80226,84.14104,83.02773,63.42093,61.41307
World,OWID_WRL,2012,33.63653,30.87253,90.4055,92.1003,84.15618,83.55938,63.40184,61.90918
World,OWID_WRL,2013,34.78383,31.45184,90.57083,92.2286,83.93146,83.92653,64.21798,62.89533
World,OWID_WRL,2014,37.52204,33.6915,90.1379,92.08729,83.60056,83.74459,65.07265,65.06734
World,OWID_WRL,2015,38.68099,34.71209,89.45311,91.60146,84.29401,84.00503,65.58999,65.31732
World,OWID_WRL,2016,39.42282,35.07899,89.53507,91.78579,84.5665,84.2818,66.60044,65.53458
World,OWID_WRL,2017,39.90464,35.34292,89.45337,91.70183,84.99514,84.83715,67.23025,66.06029
World,OWID_WRL,2018,40.47653,35.55427,89.11587,91.81204,85.23148,84.85238,67.32454,66.39973
World,OWID_WRL,2019,41.61592,36.14002,89.14116,91.66711,85.46022,85.1503,67.5074,66.45401
World,OWID_WRL,2020,42.7572,37.00947,89.134,91.39348,85.34185,84.86889,67.74234,66.68499
World,OWID_WRL,2021,44.1264,38.16367,89.06392,91.44017,85.62395,85.0618,68.45651,67.14689
World,OWID_WRL,2022,44.75224,39.11179,89.21904,91.6522,85.50435,84.97557,67.77684,66.60675
World,OWID_WRL,2023,,,88.87822,91.33202,84.68995,83.99205,67.59022,66.66946